Package Name,Benign Domains,Benign IPs,Benign Traffic,Ad Domains,Ad IPs,Ad Traffic,Tracking Domains,Tracking IPs,Tracking Traffic,HTTPS Benign Domains,HTTPS Benign IPs,HTTPS Benign Traffic,HTTPS Ad Domains,HTTPS Ad IPs,HTTPS Ad Traffic,HTTPS Tracking Domains,HTTPS Tracking IPs,HTTPS Tracking Traffic,Sum of All Traffic,Number of Ad Domains,Number of Tracking Domains,Number of Benign Domains,Tracking Percentage,Ad Percentage,Benign Percentage,Ad Traffic,HTTPS Traffic,HTTP Traffic,HTTP Percentage
io.voodoo.holeio.apk,"adserver.vidcoin.com,cmp.vidcoin.com,cdn.liftoff.io,impression-east.liftoff.io",7,64538,"ads.mopub.com,prod-a.applovin.com",3,29218,ads.mopub.com,2,21648,"54.174.238.64,adserver.vidcoin.com,rpc-tapjoy-com-lb-1378811527.us-east-1.elb.amazonaws.com,cmp.vidcoin.com,init.supersonicads.com,outcome-ssp.supersonicads.com,www.ssacdn.com.edgekey.net,www.bitmoji.com,cx.ssacdn.com,medias.fcacanada.ca,account.fcacanada.ca,173.194.203.188,s3-1.amazonaws.com,adserver-elasticl-d4w3p12p0d2b-1404757519.us-east-1.elb.amazonaws.com,api-gdpr.voodoo-tech.io,impression-east.liftoff.io,cdn.liftoff.io,outcome-cdn.supersonicads.com",29,3928442,"ws.tapjoyads.com,ads.mopub.com,content.tapjoy.com,rubick.gameanalytics.com,track.tenjin.io,api.gameanalytics.com,pagead.l.doubleclick.net,rt.applovin.com,graph.accountkit.com,supersonicads-a.akamaihd.net,z.moatads.com,api-gdpr.voodoo-tech.io,is-gateway.supersonicads.com,play-games.googleusercontent.com,ad.doubleclick.net,d3r454g9v5s33k.cloudfront.net,thind-prd-knob.data.ie.unity3d.com,csi.gstatic.com,wsback2b.prod.cloud.ogury.io,pr.ybp.yahoo.com,beap-bc.yahoo.com,googleads.g.doubleclick.net,ssl.google-analytics.com,geo.yahoo.com,lh3.ggpht.com,e.crashlytics.com,cmp.vidcoin.com,stage-pdn.applovin.com,impression.appsflyer.com,www.bitmoji.com,static.hyprmx.com,click-haproxy.supersonicads.com,cdn.ampproject.org",53,23027298,"ws.tapjoyads.com,ads.mopub.com,api.gameanalytics.com,pagead.l.doubleclick.net,rt.applovin.com,graph.accountkit.com,supersonicads-a.akamaihd.net,z.moatads.com,play-games.googleusercontent.com,ad.doubleclick.net,csi.gstatic.com,beap-bc.yahoo.com,googleads.g.doubleclick.net,ssl.google-analytics.com,geo.yahoo.com,lh3.ggpht.com,e.crashlytics.com,cdn.ampproject.org",35,11039482,38110626,35,19,22,29.02374262,60.49891702,10.47734036,23056516,37995222,115404,0.302813184
com.matchington.mansion.apk,,0,0,,0,0,,0,0,"52.52.240.97,firecraft-studios.helpshift.com,173.194.203.188,playrix.helpshift.com,static.qriously.com",8,47716,"graph.accountkit.com,thind-prd-knob.data.ie.unity3d.com,e.crashlytics.com,pagead.l.doubleclick.net",10,272411,"graph.accountkit.com,e.crashlytics.com,pagead.l.doubleclick.net",9,269019,589146,4,3,5,45.66253526,46.23828389,8.099180848,272411,589146,0,0
com.playrix.township.apk,,0,0,,0,0,,0,0,"playrix.helpshift.com,18.234.166.237,township-ios.playrix.com,gardenscapes-cdn.playrix.com.edgekey.net,1170.api.swrve.com,lookaside.facebook.com,4699.content.swrve.com,173.194.203.188",19,497707,graph.accountkit.com,1,15622,graph.accountkit.com,1,15622,528951,1,1,8,2.953392658,2.953392658,94.09321468,15622,528951,0,0
com.colorup.game.apk,,0,0,,0,0,,0,0,"23.21.184.118,init.supersonicads.com,outcome-ssp.supersonicads.com,www.ssacdn.com.edgekey.net,abs.twimg.com,platform.twitter.com,tdbankfinancialgroup.tt.omtrdc.net,cdn.cms-twdigitalassets.com,173.194.203.188",10,232924,"app.adjust.com,config.uca.cloud.unity3d.com,graph.accountkit.com,pad-v3.presage.io,wsback2b.prod.cloud.ogury.io,ads.mopub.com,thind-prd-knob.data.ie.unity3d.com,e.crashlytics.com,supersonicads-a.akamaihd.net,play-games.googleusercontent.com,photos-ugc.l.googleusercontent.com,z.moatads.com,ecommerce.iap.unity3d.com,csi.gstatic.com,pagead.l.doubleclick.net,d2ubx2mpeq0x2u.cloudfront.net,is-gateway.supersonicads.com,rt.applovin.com,d3r454g9v5s33k.cloudfront.net,ads.twitter.com,cdn.tt.omtrdc.net,ssl.google-analytics.com,stats.l.doubleclick.net,syndication.twitter.com,googleads.g.doubleclick.net",35,4566596,"app.adjust.com,graph.accountkit.com,ads.mopub.com,e.crashlytics.com,supersonicads-a.akamaihd.net,play-games.googleusercontent.com,photos-ugc.l.googleusercontent.com,z.moatads.com,csi.gstatic.com,pagead.l.doubleclick.net,rt.applovin.com,ads.twitter.com,cdn.tt.omtrdc.net,ssl.google-analytics.com,stats.l.doubleclick.net,googleads.g.doubleclick.net",26,3275822,8075342,25,16,9,40.56573703,56.54987739,2.884385578,4566596,8075342,0,0
com.ohbibi.fps.apk,,0,0,,0,0,,0,0,"ingress-prod.obb.cloud,52.216.20.173,vss-ns-usw.westus.cloudapp.azure.com,publisher-config-gcp.unityads.unity3d.com,s3-1.amazonaws.com,92.38.154.8,92.223.82.18,92.38.183.6,5.188.239.5,92.223.103.75,173.194.203.188,events.iap.unity3d.com",15,9129903,"thind-prd-knob.data.ie.unity3d.com,onesignal.com,ecommerce.iap.unity3d.com,webview.unityads.unity3d.com,app.adjust.com,auction.unityads.unity3d.com,cdn-highwinds.unityads.unity3d.com,api.amplitude.com,gate.hockeyapp.net,e.crashlytics.com,graph.accountkit.com",21,5374620,"app.adjust.com,gate.hockeyapp.net,e.crashlytics.com,graph.accountkit.com",9,99271,14603794,11,4,12,0.679761711,36.80290204,62.51733625,5374620,14603794,0,0
io.voodoo.paper2.apk,"adserver.vidcoin.com,cmp.vidcoin.com,cdn.liftoff.io,impression-east.liftoff.io",7,65215,"ads.mopub.com,assets.applovin.com,prod-a.applovin.com",4,27390,ads.mopub.com,2,24108,"www.bitmoji.com,rpc-tapjoy-com-lb-1378811527.us-east-1.elb.amazonaws.com,cmp.vidcoin.com,init.supersonicads.com,outcome-ssp.supersonicads.com,www.ssacdn.com.edgekey.net,pxj-0.tlnk.io,events.iap.unity3d.com,s3-1.amazonaws.com,adserver-elasticl-d4w3p12p0d2b-1404757519.us-east-1.elb.amazonaws.com,www.freedommobile.ca,e7100.g.akamaiedge.net,ips-invite.iperceptions.com,lookaside.facebook.com,d3htn85c6cao65.cloudfront.net,ads.connectedinteractive.com,siteintercept.qprod2.net,locations.freedommobile.ca,freedom.wysdom.com,173.194.203.188,tps11036.doubleverify.com,api-gdpr.voodoo-tech.io,i.singular.net,cdn.liftoff.io,impression-east.liftoff.io,serve-west.acuityplatform.com,cdn.acuityplatform.com,tps-wlb-uswest.dvgtm.akadns.net",40,5635267,"e.crashlytics.com,ads.mopub.com,content.tapjoy.com,ws.tapjoyads.com,track.tenjin.io,choices.truste.com,pagead.l.doubleclick.net,rt.applovin.com,supersonicads-a.akamaihd.net,api.gameanalytics.com,z.moatads.com,d2ubx2mpeq0x2u.cloudfront.net,stage-pdn.applovin.com,is-gateway.supersonicads.com,play-games.googleusercontent.com,csi.gstatic.com,thind-prd-knob.data.ie.unity3d.com,ads.api.vungle.com,beap-bc.yahoo.com,api-gdpr.voodoo-tech.io,d3r454g9v5s33k.cloudfront.net,wsback2b.prod.cloud.ogury.io,ad.doubleclick.net,ssl.google-analytics.com,platform.twitter.map.fastly.net,acuityplatform.com,ad.turn.com,stats.l.doubleclick.net,td.crwdcntrl.net,ads.twitter.com,ad.crwdcntrl.net,vars.hotjar.com.c.section.io,rules.quantcount.com,click-haproxy.supersonicads.com,outcome-cdn.supersonicads.com,bip.prod.cloud.ogury.io,impression.appsflyer.com,track.atom-data.io,cmp.vidcoin.com,graph.accountkit.com,p.adsymptotic.com,u.acuityplatform.com,www.bitmoji.com,photos-ugc.l.googleusercontent.com,googleads.g.doubleclick.net",75,20617418,"e.crashlytics.com,ads.mopub.com,ws.tapjoyads.com,pagead.l.doubleclick.net,rt.applovin.com,supersonicads-a.akamaihd.net,api.gameanalytics.com,z.moatads.com,play-games.googleusercontent.com,csi.gstatic.com,ads.api.vungle.com,beap-bc.yahoo.com,ad.doubleclick.net,ssl.google-analytics.com,acuityplatform.com,stats.l.doubleclick.net,td.crwdcntrl.net,ads.twitter.com,ad.crwdcntrl.net,track.atom-data.io,graph.accountkit.com,photos-ugc.l.googleusercontent.com,googleads.g.doubleclick.net",44,7431442,33800840,48,24,32,22.05729207,61.0777957,16.86491223,20644808,33684127,116713,0.345296152
com.h8games.helixjump.apk,cmp.vidcoin.com,1,5411,"insight.adsrvr.org,tpc.googlesyndication.com,ads.mopub.com,use-tor.adsrvr.org,choices.trustarc.com",5,6266,ads.mopub.com,1,1452,"init.supersonicads.com,outcome-ssp.supersonicads.com,www.ssacdn.com.edgekey.net,pxj-0.tlnk.io,173.194.203.188,view.adjust.com",6,78171,"rt.applovin.com,static.ssacdn.com,ads.mopub.com,photos-ugc.l.googleusercontent.com,supersonicads-a.akamaihd.net,graph.accountkit.com,z.moatads.com,csi.gstatic.com,d2ubx2mpeq0x2u.cloudfront.net,www.bitmoji.com,content.tapjoy.com,api.gameanalytics.com,thind-prd-knob.data.ie.unity3d.com,ads.api.vungle.com,track.tenjin.io,wsback2b.prod.cloud.ogury.io,stage-pdn.applovin.com,impression.appsflyer.com,e.crashlytics.com,rv-gateway.supersonicads.com,ws.tapjoyads.com,choices.truste.com,insight-1616140656.us-west-2.elb.amazonaws.com,ad.doubleclick.net,pagead-googlehosted.l.google.com,use-tor.adsrvr.org,choices.trustarc.com,pagead.l.doubleclick.net,googlehosted.l.googleusercontent.com",48,6020538,"rt.applovin.com,ads.mopub.com,photos-ugc.l.googleusercontent.com,supersonicads-a.akamaihd.net,graph.accountkit.com,z.moatads.com,csi.gstatic.com,api.gameanalytics.com,ads.api.vungle.com,e.crashlytics.com,ws.tapjoyads.com,ad.doubleclick.net,pagead-googlehosted.l.google.com,pagead.l.doubleclick.net,googlehosted.l.googleusercontent.com",30,3869451,9981289,34,16,7,38.78159424,60.38101892,0.837386835,6026804,9968160,13129,0.131536117
com.halfbrick.fruitninjafree.apk,,0,0,,0,0,,0,0,"static.hyprmx.com,skydeo-api-elb-production-370232706.us-east-1.elb.amazonaws.com,35.184.115.180,34.208.56.43,35.165.220.205,publisher-config-gcp.unityads.unity3d.com,173.194.203.188,outcome-ssp.supersonicads.com,lookaside.facebook.com,scontent.fyyc2-1.fna.fbcdn.net,support.bricknet.com,13.32.252.100,www.ssacdn.com.edgekey.net,apiv2.bricknet.com",18,1196207,"supersonicads-a.akamaihd.net,native.sharethrough.com,choices.truste.com,webview.unityads.unity3d.com,auction.unityads.unity3d.com,cdn-highwinds.unityads.unity3d.com,graph.accountkit.com,live.chartboost.com,pagead.l.doubleclick.net,static.ssacdn.com,e.crashlytics.com",17,4676278,"supersonicads-a.akamaihd.net,graph.accountkit.com,pagead.l.doubleclick.net,e.crashlytics.com",8,132973,6005458,11,4,14,2.21420248,77.86713353,19.91866399,4676278,6005458,0,0
com.candywriter.bitlife.apk,,0,0,,0,0,,0,0,"events.iap.unity3d.com,173.194.203.188",2,9427,"googlehosted.l.googleusercontent.com,rt.applovin.com,thind-prd-knob.data.ie.unity3d.com,auction.unityads.unity3d.com,stage-pdn.applovin.com,js-agent.newrelic.com,graph.accountkit.com,e.crashlytics.com,ad.doubleclick.net,lh3.ggpht.com",15,7560593,"googlehosted.l.googleusercontent.com,rt.applovin.com,js-agent.newrelic.com,graph.accountkit.com,e.crashlytics.com,ad.doubleclick.net,lh3.ggpht.com",12,4572595,12142615,10,7,2,37.65741564,62.2649487,0.077635666,7560593,12142615,0,0
com.playgendary.tanks.apk,,0,0,,0,0,,0,0,"api.playgendary.com,game-service.playgendary.com,52.210.180.106,s3.eu-central-1.amazonaws.com,init.supersonicads.com,outcome-ssp.supersonicads.com,www.ssacdn.com.edgekey.net,awseb-awseb-d9lwqcsydbt1-1241560388.eu-central-1.elb.amazonaws.com,173.194.203.188",9,114877,"placements.tapjoy.com,content.tapjoy.com,googleads.g.doubleclick.net,ads.tapdaq.com.cdn.cloudflare.net,rt.applovin.com,supersonicads-a.akamaihd.net,graph.accountkit.com,stage-pdn.applovin.com,play-games.googleusercontent.com,lh3.ggpht.com,z.moatads.com,native.sharethrough.com,rv-gateway.supersonicads.com,csi.gstatic.com,www.bitmoji.com,thind-prd-knob.data.ie.unity3d.com,track.tenjin.io,t.appsflyer.com,ws.tapjoyads.com,www-googletagmanager.l.google.com",22,5037285,"googleads.g.doubleclick.net,rt.applovin.com,supersonicads-a.akamaihd.net,graph.accountkit.com,play-games.googleusercontent.com,lh3.ggpht.com,z.moatads.com,csi.gstatic.com,t.appsflyer.com,ws.tapjoyads.com",10,2989371,8141533,20,10,9,36.71754447,61.8714559,1.410999624,5037285,8141533,0,0
