App,IP,Service,Connections,Traffic Size,,,App,IP,,,,,,,# of apps connected,# of unique IPS,,
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,107.22.197.233,benign,30,10217,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,107.22.197.233,1,,,,107.23.184.214,1,30,1,,
../pcaps/Android9.0/com.peoplefun.wordcross.apk.pcap,107.22.197.91,benign,26,9458,,,../pcaps/Android9.0/com.peoplefun.wordcross.apk.pcap,107.22.197.91,1,,,,107.23.186.52,1,,,,
../pcaps/Android9.0/com.peoplefun.wordcross.apk.pcap,107.22.198.114,benign,34,10194,,,../pcaps/Android9.0/com.peoplefun.wordcross.apk.pcap,107.22.198.114,1,,,,108.161.188.128,1,,217,678,
../pcaps/Android9.0/com.snow.drift.apk.pcap,107.22.215.55,benign,28,9943,,,../pcaps/Android9.0/com.snow.drift.apk.pcap,107.22.215.55,1,,,,108.177.127.120,1,,,,
../pcaps/Android9.0/com.snow.drift.apk.pcap,107.22.248.57,benign,30,10005,,,../pcaps/Android9.0/com.snow.drift.apk.pcap,107.22.248.57,1,,,,128.116.112.35,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,107.22.254.1,benign,28,9907,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,107.22.254.1,1,,,,128.116.112.43,1,,,,
../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,107.23.184.214,ads,52,11118,,,../pcaps/Android9.0/io.voodoo.crowdcity.apk.pcap,107.23.184.214,1,,,,13.251.62.80,1,,,,
../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,107.23.186.52,benign,17,1258,,,../pcaps/Android9.0/com.halfbrick.fruitninjafree.apk.pcap,107.23.186.52,1,,,,13.32.203.245,1,,,,cloudflare
../pcaps/Android9.0/com.kiloo.subwaysurf.apk.pcap,108.161.188.128,ads,3,193,,,../pcaps/Android9.0/com.kiloo.subwaysurf.apk.pcap,108.161.188.128,1,,,,13.32.205.144,1,,,,twitter
../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,108.177.127.120,benign,379,63115,,,../pcaps/Android9.0/com.youmusic.magictiles.apk.pcap,108.177.127.120,1,,,,13.32.205.215,1,,,,netDNA
../pcaps/Android9.0/com.roblox.client.apk.pcap,128.116.112.35,benign,30,9925,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,128.116.112.35,1,,,,13.32.205.246,1,,,,ANS Communications
../pcaps/Android9.0/com.roblox.client.apk.pcap,128.116.112.43,benign,116,46425,,,../pcaps/Android9.0/com.roblox.client.apk.pcap,128.116.112.43,1,,,,13.32.252.100,1,,,,
